_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
90115,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,69.0,"JAN 30, 2015",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 9PM 7 DAYS WEEK,MAIN FLOOR,YES,9.0,56.0,1.0,8.0,NO,YES,Surface Parking,M4A,,NO,LINWOOD MANAGEMENT CORPORATION,PRIVATE,BACK OF BUILDING,4154887.0,NO,YES,NO,48  ECCLESTON DR ,NO,,,YES,FREE,16,DOUBLE PANE,1960.0,2016.0,2017.0,,,,,,,,
90116,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area , Sauna",YES,YES,YES,YES,YES,Not Available,13.0,111.0,"MAR 20, 2017",SWINGS/SLIDE,FREE WEIGHTS/CARDIO EQUIPMENT,"TENNIS COURT, GAZEBO, BBQ",COMPLETE MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,GARBAGE AREA,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8A-10P,BASEMENT,YES,0.0,2.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M3A,25 POUNDS OR LESS,YES,QUADREAL PROPERTY GROUP,PRIVATE,BEHIND BUILDING,4154894.0,NO,YES,NO,8-10  ROANOKE RD ,YES,YES,1964.0,YES,FREE,16,DOUBLE PANE,1962.0,2005.0,2017.0,,,,,,,,
90117,NONE,,YES,NO,YES,YES,NO,50 indoor parking spots and 0 outdoor parking spots,4.0,83.0,"JAN 3, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,NORTHWEST CORNER OF PROPERTY,REPLACED,1985.0,HOT WATER,YES,YES,NO,YES,YES,24 HOURS,EVERY FLOOR,NO,0.0,1.0,2.0,16.0,NO,YES,"Underground Garage , Surface Parking",M3A,,YES,,PRIVATE,NORTHWEST CORNER OF PROPERTY,4154905.0,NO,NO,NO,270  CASSANDRA BLVD ,YES,YES,1969.0,YES,FREE,16,SINGLE PANE,1969.0,2016.0,2017.0,,,,,,,,
90118,NONE,Outdoor pool,YES,YES,YES,YES,YES,Not Available,7.0,81.0,"DEC 12, 2012",,,,CONTROL MOTORIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK PARKING LOT,REPLACED,2011.0,HOT WATER,NO,YES,NO,YES,YES,9 AM TO 10 PM,FIRST FLOOR,YES,0.0,1.0,2.0,10.0,NO,NO,"Underground Garage , Ground Level Garage",M3A,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK PARKING LOT,4154911.0,NO,YES,NO,111  COMBERMERE DR ,YES,YES,1963.0,NO,FREE,16,DOUBLE PANE,1963.0,2002.0,2017.0,,,,,,,,
90119,NONE,Outdoor pool,YES,YES,YES,YES,NO,Not Available,7.0,110.0,"FEB 15, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2002.0,HOT WATER,NO,YES,NO,YES,YES,6AM-12AM,GROUND FLOOR,YES,0.0,99.0,2.0,12.0,NO,YES,"Carport , Surface Parking",M9B,,YES,LEEDALE CONSTRUCTION LTD,PRIVATE,OUTDOOR GARBAGE ENCLOSURE,4155399.0,NO,YES,NO,530  THE EAST MALL  ,YES,YES,1990.0,YES,FREE,2,DOUBLE PANE,1960.0,2006.0,2017.0,,,,,,,,
90120,NONE,,YES,YES,YES,YES,NO,Not Available,16.0,122.0,"APR 2, 2019",,,,ALL,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2018.0,HOT WATER,YES,YES,NO,YES,YES,24/7,MAIN FLOOR,YES,0.0,0.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9B,,YES,,PRIVATE,NEXT TO THE GARBAGE OUTSIDE,4155400.0,NO,YES,NO,580  THE EAST MALL  ,YES,YES,1995.0,YES,FREE,2,DOUBLE PANE,1972.0,2015.0,2018.0,,,,,,,,
90121,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,90.0,"FEB 1, 2017",,,,INTERIOR AND CONTROLS,REPLACED,,NO,Recycling bins,YES,NO,,ORIGINAL,1969.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 10PM,MAIN FLOOR,YES,0.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9B,,YES,,PRIVATE,SOUTH SIDE OF BUILDING,4155401.0,NO,YES,NO,535  THE EAST MALL  ,YES,YES,1969.0,YES,UNAVAILABLE,2,DOUBLE PANE,1969.0,2006.0,2017.0,,,,,,,,
90122,NONE,,YES,YES,YES,NO,NO,Not Available,7.0,33.0,"OCT 15, 2016",,,,"MACHINE, HOISTS, CAB INTERIOR",REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1992.0,FORCED AIR GAS,YES,YES,NO,YES,YES,CONTINUOUS,SEVERAL THROUGHOUT BUILDING,NO,0.0,0.0,1.0,6.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M9B,AS SET FORTH IN RTA,YES,KROMA MANAGEMENT LTD.,PRIVATE,REAR OF BUILDING,4155402.0,NO,NO,NO,1  RABBIT LANE ,NO,,,YES,FREE,2,DOUBLE PANE,1970.0,2009.0,2017.0,,,,,,,,
90123,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,61.0,"AUG 15, 2017",,,,COMPLETE MODERNISATION ,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,1ST FLOOR,NO,0.0,1.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M9R,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4155414.0,NO,YES,NO,55  BRIDESBURG DR ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,2012.0,2017.0,,,,,,,,
90124,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,32.0,"AUG 15, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,ORIGINAL,1965.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,GROUND FLOOR,NO,0.0,0.0,1.0,4.0,NO,YES,Surface Parking,M9R,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4155418.0,NO,YES,NO,41  BLACKFRIAR AVE ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
